Porcentaje de Area;Altitud (msnm)
100;340
99.99788345;440
99.91820148;540
99.24613387;640
98.36415407;740
96.77063919;840
94.85665338;940
91.83521271;1040
87.75101377;1140
83.52861641;1240
79.10838366;1340
75.14756727;1440
71.27290701;1540
67.95191193;1640
64.94864871;1740
62.08557595;1840
59.0368691;1940
55.53023993;2040
52.63093677;2140
49.82675397;2240
47.23098931;2340
44.62177833;2440
42.19272329;2540
39.88829584;2640
37.53668172;2740
35.18544111;2840
33.07635898;2940
30.65913174;3040
25.96897632;3140
18.6041213;3240
12.5633565;3340
6.00403639;3440
1.699467002;3540
